ideology_7pt,party_id_signed,imm_unauth,birthright,paid_leave,trump_corr,journ_access,gun_bkg_chk,illeg_child,death_pen,abortion,scotus_abort,ar_ban,econ_now,voter_id,felon_vote,vax_school,spend_border,spend_welfare,spend_poor,spend_school,checks_power,border_wall,trans_bath,trans_military,lg_job,lg_marry,lg_refuse_service,police_force,assist_black,black_favor,diversity,job_gov_guar,govt_health,obamacare,svc_spend,def_spend,urban_unrest,clim_imp,rus_interf,ft_trans,ft_union,ft_fem,ft_sci,ft_police,env_bus,ghg_emiss,gun_imp,mil_force,millionaire_tax,min_wage,free_trade,intl_trade_job,survey_year,ft_asian,biden_foreign,limit_imports,immig_levels,biden_crime,affirm_action,health_spend,dei_college,discuss_race,israel_aid,vote_denied,crime_spend,ideology_3pt_signed
6.0,1.0,1.0,7.0,2.0,1.0,4.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,4.0,3.0,3.0,1.0,4.0,7.0,3.0,3.0,4.0,3.0,4.0,,3.0,,3.0,3.0,0.0,50.0,0.0,70.0,50.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,2020,,,,,,,,,,,,,-1.0
3.0,-1.0,3.0,4.0,1.0,1.0,7.0,1.0,6.0,3.0,4.0,6.0,1.0,5.0,4.0,1.0,4.0,4.0,3.0,2.0,1.0,5.0,7.0,5.0,2.0,1.0,1.0,5.0,5.0,3.0,4.0,1.0,4.0,3.0,1.0,4.0,4.0,1.0,5.0,1.0,50.0,60.0,70.0,70.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,3.0,2020,,,,,,,,,,,,,1.0
4.0,0.0,2.0,2.0,2.0,4.0,6.0,1.0,4.0,3.0,4.0,4.0,7.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,4.0,4.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,7.0,4.0,1.0,3.0,5.0,50.0,40.0,60.0,70.0,60.0,,4.0,2.0,4.0,1.0,1.0,6.0,3.0,2020,,,,,,,,,,,,,0.0
6.0,0.0,3.0,4.0,2.0,7.0,4.0,7.0,4.0,2.0,3.0,4.0,4.0,3.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,7.0,4.0,6.0,6.0,2.0,3.0,50.0,50.0,30.0,70.0,85.0,,4.0,1.0,3.0,1.0,1.0,4.0,3.0,2020,,,,,,,,,,,,,-1.0
3.0,0.0,3.0,2.0,2.0,2.0,7.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,6.0,2.0,1.0,3.0,3.0,3.0,1.0,5.0,5.0,4.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,5.0,1.0,1.0,4.0,4.0,5.0,3.0,3.0,50.0,40.0,50.0,80.0,70.0,3.0,2.0,3.0,4.0,1.0,1.0,4.0,4.0,2020,,,,,,,,,,,,,1.0
3.0,-1.0,3.0,4.0,4.0,1.0,6.0,1.0,6.0,2.0,4.0,6.0,1.0,3.0,6.0,2.0,1.0,4.0,3.0,2.0,2.0,5.0,7.0,2.0,2.0,1.0,1.0,5.0,2.0,3.0,4.0,2.0,3.0,3.0,1.0,5.0,2.0,3.0,5.0,2.0,85.0,60.0,70.0,85.0,85.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,2020,,,,,,,,,,,,,1.0
2.0,-1.0,2.0,2.0,4.0,2.0,7.0,1.0,5.0,3.0,4.0,7.0,1.0,4.0,4.0,5.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0,5.0,1.0,1.0,1.0,6.0,3.0,6.0,1.0,2.0,6.0,3.0,1.0,4.0,3.0,3.0,5.0,1.0,50.0,40.0,60.0,85.0,70.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2020,,,,,,,,,,,,,1.0
3.0,-1.0,3.0,6.0,2.0,1.0,6.0,1.0,5.0,4.0,2.0,4.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,4.0,1.0,1.0,5.0,2.0,4.0,3.0,2.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0,85.0,70.0,85.0,100.0,85.0,4.0,2.0,2.0,3.0,1.0,1.0,4.0,3.0,2020,,,,,,,,,,,,,1.0
6.0,1.0,3.0,2.0,6.0,1.0,2.0,2.0,5.0,2.0,4.0,4.0,6.0,4.0,1.0,1.0,7.0,1.0,5.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,6.0,2.0,5.0,7.0,5.0,6.0,4.0,6.0,7.0,3.0,5.0,10.0,30.0,20.0,80.0,100.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2020,,,,,,,,,,,,,-1.0
4.0,-1.0,3.0,4.0,2.0,1.0,7.0,1.0,6.0,4.0,3.0,4.0,1.0,5.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,5.0,7.0,5.0,1.0,1.0,1.0,6.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,5.0,3.0,70.0,75.0,70.0,,60.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,2020,,,,,,,,,,,,,0.0
2.0,0.0,3.0,7.0,2.0,2.0,7.0,3.0,6.0,4.0,4.0,7.0,7.0,4.0,6.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,6.0,4.0,2.0,1.0,1.0,6.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,6.0,1.0,1.0,5.0,1.0,50.0,75.0,50.0,80.0,15.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,2020,,,,,,,,,,,,,1.0
6.0,1.0,3.0,7.0,1.0,7.0,7.0,4.0,5.0,1.0,2.0,2.0,4.0,1.0,2.0,6.0,4.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,,3.0,3.0,7.0,7.0,4.0,,,5.0,3.0,5.0,50.0,50.0,50.0,50.0,50.0,7.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,2020,,,,,,,,,,,,,-1.0
,-1.0,4.0,7.0,4.0,4.0,4.0,1.0,6.0,1.0,2.0,5.0,5.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,5.0,7.0,1.0,1.0,2.0,2.0,6.0,3.0,2.0,2.0,1.0,4.0,1.0,7.0,5.0,2.0,,4.0,5.0,30.0,50.0,60.0,70.0,70.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,2020,,,,,,,,,,,,,
2.0,-1.0,3.0,6.0,2.0,1.0,7.0,1.0,6.0,3.0,4.0,7.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,2.0,4.0,7.0,5.0,4.0,1.0,1.0,6.0,2.0,3.0,5.0,1.0,3.0,1.0,1.0,5.0,4.0,3.0,4.0,1.0,60.0,85.0,80.0,75.0,65.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0,3.0,2020,,,,,,,,,,,,,1.0
,0.0,3.0,6.0,1.0,4.0,4.0,1.0,5.0,3.0,2.0,7.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,,1.0,3.0,6.0,4.0,4.0,,6.0,,4.0,3.0,30.0,70.0,50.0,85.0,85.0,6.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,2020,,,,,,,,,,,,,
5.0,0.0,4.0,4.0,6.0,2.0,6.0,1.0,5.0,2.0,4.0,6.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,5.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,3.0,5.0,4.0,4.0,5.0,4.0,2.0,4.0,5.0,50.0,50.0,50.0,60.0,60.0,3.0,2.0,4.0,4.0,1.0,1.0,2.0,3.0,2020,,,,,,,,,,,,,-1.0
5.0,1.0,3.0,2.0,4.0,1.0,6.0,1.0,5.0,4.0,4.0,6.0,1.0,4.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,5.0,4.0,5.0,4.0,1.0,1.0,5.0,2.0,2.0,5.0,1.0,3.0,4.0,1.0,6.0,5.0,3.0,5.0,1.0,45.0,50.0,70.0,90.0,70.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,2020,,,,,,,,,,,,,-1.0
4.0,-1.0,3.0,5.0,4.0,3.0,4.0,1.0,6.0,1.0,4.0,7.0,1.0,4.0,1.0,3.0,2.0,4.0,4.0,2.0,1.0,3.0,7.0,6.0,1.0,1.0,1.0,6.0,4.0,5.0,1.0,3.0,4.0,3.0,7.0,,,1.0,3.0,3.0,100.0,50.0,15.0,70.0,40.0,4.0,4.0,2.0,4.0,1.0,3.0,4.0,3.0,2020,,,,,,,,,,,,,0.0
,0.0,1.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,4.0,2.0,7.0,3.0,3.0,,4.0,4.0,7.0,,7.0,2.0,3.0,15.0,0.0,0.0,15.0,50.0,,4.0,2.0,2.0,2.0,2.0,4.0,5.0,2020,,,,,,,,,,,,,
4.0,0.0,4.0,4.0,4.0,1.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,7.0,5.0,5.0,5.0,5.0,5.0,1.0,,4.0,1.0,1.0,2.0,4.0,7.0,3.0,3.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,5.0,50.0,40.0,50.0,50.0,15.0,1.0,7.0,5.0,5.0,2.0,4.0,1.0,3.0,2020,,,,,,,,,,,,,0.0
2.0,-1.0,3.0,1.0,6.0,1.0,7.0,1.0,5.0,2.0,,7.0,1.0,4.0,4.0,2.0,1.0,1.0,5.0,2.0,1.0,5.0,7.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,5.0,5.0,3.0,4.0,2.0,3.0,5.0,1.0,85.0,70.0,70.0,85.0,70.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,2020,,,,,,,,,,,,,1.0
6.0,1.0,2.0,2.0,4.0,6.0,4.0,6.0,5.0,1.0,2.0,4.0,7.0,1.0,1.0,6.0,1.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,5.0,2.0,3.0,7.0,7.0,7.0,4.0,5.0,7.0,1.0,5.0,30.0,60.0,15.0,50.0,100.0,5.0,7.0,3.0,2.0,3.0,2.0,2.0,2.0,2020,,,,,,,,,,,,,-1.0
2.0,-1.0,3.0,7.0,2.0,1.0,7.0,1.0,6.0,4.0,4.0,7.0,1.0,4.0,7.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,7.0,6.0,1.0,1.0,1.0,6.0,2.0,1.0,5.0,1.0,3.0,1.0,1.0,5.0,4.0,2.0,5.0,1.0,85.0,50.0,85.0,100.0,70.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2020,,,,,,,,,,,,,1.0
,1.0,3.0,1.0,4.0,4.0,5.0,1.0,6.0,1.0,2.0,7.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,5.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,7.0,1.0,1.0,7.0,7.0,6.0,4.0,5.0,4.0,2.0,4.0,50.0,60.0,50.0,85.0,70.0,,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2020,,,,,,,,,,,,,
,-1.0,4.0,6.0,1.0,2.0,4.0,1.0,6.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,4.0,1.0,5.0,4.0,5.0,3.0,1.0,1.0,1.0,7.0,4.0,4.0,3.0,5.0,40.0,85.0,85.0,85.0,85.0,6.0,4.0,2.0,3.0,1.0,1.0,4.0,3.0,2020,,,,,,,,,,,,,
1.0,0.0,4.0,6.0,2.0,2.0,7.0,1.0,6.0,4.0,4.0,7.0,1.0,4.0,7.0,1.0,5.0,5.0,2.0,2.0,1.0,5.0,6.0,4.0,2.0,1.0,1.0,6.0,4.0,2.0,5.0,1.0,3.0,1.0,1.0,6.0,3.0,1.0,5.0,3.0,70.0,70.0,100.0,100.0,10.0,2.0,1.0,4.0,4.0,1.0,1.0,3.0,3.0,2020,,,,,,,,,,,,,1.0
1.0,-1.0,4.0,7.0,1.0,1.0,7.0,1.0,6.0,4.0,4.0,7.0,1.0,4.0,6.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,7.0,6.0,1.0,1.0,1.0,5.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,5.0,1.0,100.0,70.0,100.0,100.0,15.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,2020,,,,,,,,,,,,,1.0
6.0,1.0,3.0,6.0,4.0,6.0,4.0,4.0,6.0,4.0,,4.0,7.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,4.0,1.0,5.0,4.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,6.0,5.0,7.0,4.0,4.0,5.0,1.0,5.0,50.0,40.0,15.0,70.0,70.0,5.0,7.0,1.0,4.0,2.0,2.0,1.0,3.0,2020,,,,,,,,,,,,,-1.0
6.0,1.0,2.0,4.0,2.0,4.0,4.0,1.0,5.0,2.0,,4.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,6.0,2.0,2.0,5.0,4.0,7.0,2.0,,4.0,1.0,4.0,50.0,50.0,40.0,50.0,85.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,2020,,,,,,,,,,,,,-1.0
4.0,-1.0,3.0,2.0,2.0,1.0,4.0,2.0,5.0,4.0,1.0,4.0,4.0,3.0,6.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,7.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,7.0,,,3.0,1.0,30.0,85.0,60.0,65.0,65.0,3.0,4.0,2.0,4.0,3.0,1.0,4.0,3.0,2020,,,,,,,,,,,,,0.0
7.0,1.0,2.0,2.0,4.0,6.0,6.0,2.0,4.0,1.0,2.0,1.0,7.0,1.0,1.0,5.0,1.0,1.0,5.0,4.0,5.0,5.0,1.0,1.0,6.0,2.0,2.0,1.0,2.0,6.0,2.0,3.0,7.0,7.0,7.0,1.0,5.0,5.0,1.0,5.0,50.0,1.0,15.0,100.0,100.0,7.0,7.0,3.0,3.0,2.0,2.0,1.0,2.0,2020,,,,,,,,,,,,,-1.0
7.0,1.0,1.0,7.0,2.0,7.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,7.0,1.0,1.0,5.0,3.0,3.0,4.0,1.0,2.0,4.0,3.0,3.0,1.0,2.0,7.0,1.0,3.0,7.0,7.0,7.0,2.0,6.0,7.0,1.0,5.0,70.0,0.0,0.0,40.0,100.0,7.0,7.0,1.0,2.0,2.0,2.0,4.0,4.0,2020,,,,,,,,,,,,,-1.0
3.0,0.0,3.0,4.0,1.0,4.0,4.0,1.0,5.0,3.0,,1.0,1.0,3.0,1.0,1.0,6.0,1.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,6.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,50.0,50.0,50.0,50.0,60.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,2020,,,,,,,,,,,,,1.0
6.0,1.0,3.0,4.0,4.0,4.0,6.0,4.0,5.0,1.0,4.0,4.0,7.0,2.0,1.0,4.0,4.0,1.0,5.0,4.0,1.0,2.0,4.0,1.0,6.0,1.0,1.0,5.0,1.0,7.0,3.0,2.0,,,2.0,4.0,6.0,4.0,4.0,3.0,0.0,50.0,0.0,90.0,99.0,7.0,6.0,1.0,1.0,3.0,1.0,4.0,5.0,2020,,,,,,,,,,,,,-1.0
2.0,-1.0,3.0,2.0,2.0,1.0,7.0,1.0,6.0,1.0,3.0,6.0,1.0,5.0,6.0,2.0,1.0,3.0,3.0,2.0,2.0,5.0,6.0,6.0,1.0,1.0,1.0,5.0,3.0,4.0,3.0,2.0,6.0,5.0,1.0,5.0,3.0,4.0,4.0,1.0,70.0,85.0,60.0,85.0,85.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,2020,,,,,,,,,,,,,1.0
3.0,0.0,4.0,6.0,3.0,3.0,7.0,1.0,5.0,4.0,4.0,6.0,1.0,3.0,4.0,2.0,1.0,4.0,3.0,3.0,1.0,5.0,6.0,5.0,2.0,1.0,1.0,5.0,2.0,3.0,4.0,2.0,4.0,4.0,1.0,4.0,3.0,2.0,5.0,1.0,70.0,50.0,70.0,90.0,50.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2020,,,,,,,,,,,,,1.0
4.0,1.0,2.0,6.0,1.0,2.0,4.0,2.0,5.0,4.0,1.0,4.0,2.0,3.0,2.0,6.0,7.0,3.0,5.0,3.0,2.0,4.0,2.0,5.0,4.0,2.0,2.0,1.0,3.0,6.0,2.0,2.0,4.0,5.0,7.0,7.0,4.0,4.0,3.0,3.0,30.0,65.0,50.0,60.0,70.0,4.0,2.0,3.0,3.0,1.0,3.0,2.0,4.0,2020,,,,,,,,,,,,,0.0
6.0,0.0,3.0,4.0,2.0,1.0,6.0,1.0,6.0,1.0,4.0,7.0,1.0,4.0,3.0,6.0,1.0,4.0,3.0,2.0,1.0,5.0,7.0,5.0,4.0,1.0,1.0,6.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,3.0,4.0,4.0,2.0,60.0,70.0,70.0,85.0,85.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2020,,,,,,,,,,,,,-1.0
4.0,-1.0,3.0,1.0,2.0,1.0,7.0,1.0,5.0,4.0,4.0,6.0,1.0,4.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,3.0,2.0,1.0,7.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,6.0,7.0,4.0,1.0,5.0,2.0,15.0,60.0,30.0,70.0,15.0,1.0,1.0,1.0,3.0,1.0,1.0,6.0,5.0,2020,,,,,,,,,,,,,0.0
2.0,-1.0,4.0,7.0,1.0,1.0,7.0,1.0,6.0,3.0,4.0,7.0,1.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,7.0,6.0,1.0,1.0,1.0,6.0,3.0,3.0,5.0,1.0,4.0,1.0,1.0,5.0,4.0,1.0,3.0,1.0,85.0,85.0,95.0,100.0,40.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,2020,,,,,,,,,,,,,1.0
4.0,0.0,1.0,4.0,1.0,1.0,4.0,,6.0,1.0,1.0,5.0,,2.0,4.0,1.0,,1.0,3.0,2.0,2.0,3.0,1.0,1.0,,1.0,1.0,1.0,,5.0,,,5.0,2.0,,5.0,3.0,7.0,,4.0,,,,,,5.0,,,3.0,,,,,2020,,,,,,,,,,,,,0.0
,1.0,3.0,4.0,4.0,1.0,4.0,4.0,5.0,1.0,1.0,7.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,7.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,,4.0,7.0,,1.0,1.0,3.0,0.0,70.0,0.0,0.0,100.0,,4.0,2.0,3.0,3.0,1.0,4.0,5.0,2020,,,,,,,,,,,,,
4.0,0.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,2.0,1.0,2.0,7.0,1.0,3.0,3.0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0,7.0,1.0,3.0,7.0,7.0,7.0,2.0,6.0,7.0,1.0,5.0,50.0,70.0,20.0,50.0,100.0,7.0,7.0,1.0,3.0,2.0,2.0,7.0,5.0,2020,,,,,,,,,,,,,0.0
6.0,1.0,3.0,2.0,3.0,5.0,2.0,,4.0,1.0,,3.0,,2.0,1.0,7.0,,2.0,3.0,3.0,2.0,4.0,1.0,4.0,,2.0,2.0,1.0,,3.0,,,7.0,5.0,,3.0,4.0,6.0,,5.0,,,,,,5.0,,,4.0,,,,,2020,,,,,,,,,,,,,-1.0
3.0,-1.0,3.0,4.0,2.0,2.0,6.0,1.0,5.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,1.0,6.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,20.0,90.0,50.0,90.0,90.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,3.0,2020,,,,,,,,,,,,,1.0
3.0,0.0,2.0,3.0,1.0,1.0,7.0,1.0,6.0,3.0,4.0,7.0,1.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,5.0,7.0,5.0,1.0,1.0,1.0,6.0,3.0,2.0,4.0,1.0,4.0,3.0,1.0,4.0,3.0,4.0,4.0,1.0,85.0,60.0,85.0,90.0,60.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2020,,,,,,,,,,,,,1.0
